Attendance,Hours_Studied,Support_Multiplier,Overcoming_Odds,Disadvantage_Score,Tutoring_Sessions,Motivation_Sustainability,Access_to_Resources,Parental_Education_Level,Previous_Scores,Inefficiency_Flag,Teacher_Quality,Motivation_Level,Effort_Payoff,Family_Income,Sleep_Hours,Physical_Activity,Peer_Influence,Support_Index,Resilience_Score,Exam_Score
61,27,9.450000000000001,81,1,3,1.0492,High,High School,86,False,High,Medium,3.0714285714285716,Medium,10,3,Positive,7.0,0,70
71,24,7.199999999999999,50,1,2,0.3905,High,College,55,True,Medium,Low,2.2,High,7,3,Positive,6.0,0,67
81,26,6.5,56,3,0,0.5751000000000001,Medium,High School,71,False,Medium,Low,2.6296296296296298,Medium,10,5,Positive,5.0,0,67
83,15,3.75,56,7,0,1.5106,Low,College,91,False,Medium,Medium,5.6875,Low,8,3,Neutral,5.0,0,64
97,11,2.75,68,3,4,0.8050999999999999,Medium,High School,83,False,High,Low,6.916666666666667,Medium,8,2,Negative,5.0,0,68
86,29,8.7,64,4,1,0.7223999999999999,High,High School,84,False,High,Low,2.8,Low,10,4,Positive,6.0,0,72
77,18,4.5,41,4,1,0.9394,High,High School,61,False,Medium,Medium,3.210526315789474,Low,6,3,Neutral,5.0,0,65
97,18,3.6,56,2,2,0.6402,High,College,66,False,Medium,Low,3.473684210526316,Medium,8,2,Neutral,4.0,0,70
91,28,7.0,78,4,2,0.8918,Medium,Postgraduate,98,False,Medium,Low,3.3793103448275863,Low,7,5,Positive,5.0,0,75
68,23,6.8999999999999995,47,9,3,1.2512,Low,High School,92,False,High,Medium,3.8333333333333335,Low,7,4,Neutral,6.0,0,65
65,23,5.75,38,4,1,0.377,High,College,58,False,Medium,Low,2.4166666666666665,Low,7,3,Neutral,5.0,0,63
87,33,8.25,57,4,0,0.6699,High,High School,77,False,Medium,Low,2.264705882352941,Low,8,3,Positive,5.0,0,71
82,16,4.800000000000001,50,5,2,1.23,Low,College,75,False,Medium,Medium,4.411764705882353,Medium,8,2,Positive,6.0,0,66
92,26,6.5,37,7,1,1.3248,Low,High School,72,False,Medium,Medium,2.6666666666666665,Low,6,3,Neutral,5.0,0,69
90,20,4.0,69,1,0,0.666,Medium,Postgraduate,74,False,Low,Low,3.5238095238095237,High,7,3,Positive,4.0,0,68
85,22,6.6000000000000005,72,2,1,1.394,High,Postgraduate,82,False,High,Medium,3.5652173913043477,Medium,4,2,Positive,6.0,0,71
99,29,5.8,78,4,5,2.9105999999999996,Medium,Postgraduate,98,False,Low,High,3.2666666666666666,Low,8,2,Neutral,4.0,0,77
81,23,6.8999999999999995,74,4,1,2.2842000000000002,Low,College,94,False,High,High,3.9166666666666665,Medium,10,2,Neutral,6.0,1,70
65,23,3.4499999999999997,84,2,1,1.222,Medium,College,94,False,Medium,Medium,3.9166666666666665,High,7,3,Negative,3.0,0,66
93,26,7.800000000000001,80,1,1,0.7905,Medium,College,85,False,High,Low,3.1481481481481484,High,5,3,Positive,6.0,0,73
70,18,3.6,26,5,1,0.714,Medium,College,51,False,Medium,Medium,2.6842105263157894,Low,8,3,Negative,4.0,0,62
91,15,3.0,57,3,0,0.6552,Medium,High School,72,False,Medium,Low,4.5,Medium,6,2,Neutral,4.0,0,65
98,14,3.5,61,3,0,1.4896,High,Postgraduate,76,False,Medium,Medium,5.066666666666666,Low,7,2,Neutral,5.0,0,71
88,8,1.6,67,5,1,2.4288000000000003,Medium,College,92,False,Medium,High,10.222222222222221,Low,8,4,Negative,4.0,0,66
84,32,9.600000000000001,61,7,1,1.6127999999999998,Medium,High School,96,False,Medium,Medium,2.909090909090909,Low,8,3,Positive,6.0,0,72
78,13,3.25,58,3,0,1.1388,Medium,High School,73,False,High,Medium,5.214285714285714,Medium,9,4,Negative,5.0,0,64
75,19,2.8499999999999996,40,5,0,0.48750000000000004,Medium,High School,65,False,Low,Low,3.25,Low,7,4,Neutral,3.0,0,63
74,18,5.4,32,7,0,0.4958,Medium,High School,67,False,Medium,Low,3.526315789473684,Low,7,3,Positive,6.0,0,63
85,22,5.5,69,2,5,2.0145,Medium,High School,79,False,High,High,3.4347826086956523,Medium,8,2,Neutral,5.0,0,72
90,25,8.75,49,3,2,1.1520000000000001,Medium,High School,64,False,High,Medium,2.4615384615384617,Medium,7,2,Positive,7.0,0,71
87,25,7.5,91,1,3,0.8351999999999999,High,High School,96,False,Medium,Low,3.6923076923076925,Medium,6,2,Positive,6.0,0,72
68,17,5.1,61,2,1,0.9656,High,High School,71,False,High,Medium,3.9444444444444446,Medium,8,2,Neutral,6.0,0,65
80,19,4.75,85,3,0,1.6,Medium,High School,100,False,Medium,Medium,5.0,Medium,5,3,Neutral,5.0,0,67
92,22,6.6000000000000005,25,6,1,0.5060000000000001,High,High School,55,False,Medium,Low,2.391304347826087,Low,7,4,Positive,6.0,0,68
79,19,4.75,39,4,2,0.9322,High,Postgraduate,59,False,Medium,Medium,2.95,Low,5,2,Neutral,5.0,0,66
81,30,7.5,71,1,0,1.2312,High,Postgraduate,76,False,Medium,Medium,2.4516129032258065,High,6,3,Positive,5.0,0,72
91,23,3.4499999999999997,73,4,3,1.6926,Medium,High School,93,False,Low,Medium,3.875,Low,6,3,Neutral,3.0,0,71
86,24,7.199999999999999,48,4,3,0.5848,High,College,68,False,High,Low,2.72,Low,6,3,Positive,6.0,0,70
76,24,3.5999999999999996,77,3,1,1.3984,Medium,Postgraduate,92,False,Low,Medium,3.68,Medium,9,3,Neutral,3.0,0,68
96,27,6.75,51,4,0,0.6816,High,College,71,False,Medium,Low,2.5357142857142856,Low,9,4,Positive,5.0,0,72
67,21,6.300000000000001,58,7,1,1.8693000000000004,Medium,College,93,False,High,High,4.2272727272727275,Low,9,3,Neutral,6.0,1,66
100,12,3.5999999999999996,49,3,1,1.28,Medium,High School,64,False,High,Medium,4.923076923076923,Medium,7,6,Positive,6.0,0,69
65,22,6.6000000000000005,49,5,2,1.443,Medium,College,74,False,Medium,High,3.217391304347826,Medium,6,1,Positive,6.0,1,65
61,16,4.800000000000001,49,3,1,0.7808,High,High School,64,False,High,Medium,3.764705882352941,Low,8,3,Positive,6.0,0,62
96,17,5.1,46,3,1,0.5856,High,College,61,False,High,Low,3.388888888888889,Low,7,1,Positive,6.0,0,69
70,24,3.5999999999999996,56,3,1,0.9939999999999999,Medium,High School,71,False,Low,Medium,2.84,Medium,7,4,Negative,3.0,0,65
89,27,4.050000000000001,32,7,2,1.1926,Low,College,67,False,Low,Medium,2.392857142857143,Low,4,4,Neutral,3.0,0,69
92,20,5.0,59,6,1,1.6376000000000002,High,High School,89,False,Medium,Medium,4.238095238095238,Low,8,3,Neutral,5.0,0,69
94,22,,67,4,2,1.6356,Medium,College,87,False,,Medium,3.782608695652174,Low,8,5,Neutral,,0,73
100,30,7.5,58,2,2,0.68,Medium,Postgraduate,68,False,Medium,Low,2.193548387096774,Medium,7,2,Neutral,5.0,0,75
72,21,7.3500000000000005,85,3,3,1.44,High,College,100,False,High,Medium,4.545454545454546,Low,8,3,Positive,7.0,0,70
88,36,5.4,79,4,0,2.6136,High,College,99,False,Medium,High,2.675675675675676,Low,8,3,Negative,3.0,0,74
65,23,5.75,71,5,0,1.248,Medium,High School,96,False,Low,Medium,4.0,Low,6,3,Positive,5.0,0,65
76,9,1.35,64,3,1,1.2008,Medium,College,79,False,Medium,Medium,7.9,Medium,7,3,Negative,3.0,0,63
94,25,5.0,66,1,4,0.6673999999999999,High,College,71,False,High,Low,2.730769230769231,Medium,5,4,Negative,4.0,0,74
75,22,5.5,51,3,0,0.495,High,Postgraduate,66,False,Medium,Low,2.869565217391304,Low,9,2,Neutral,5.0,0,67
84,28,8.399999999999999,36,3,3,0.8568,Medium,Postgraduate,51,True,Medium,Medium,1.7586206896551724,Medium,8,4,Positive,6.0,0,71
80,24,7.199999999999999,52,6,1,1.312,Low,College,82,False,High,Medium,3.28,Low,6,3,Neutral,6.0,0,68
86,19,2.8499999999999996,68,2,2,1.3416000000000001,Medium,College,78,False,Medium,Medium,3.9,Medium,8,4,Negative,3.0,0,69
99,13,3.25,71,2,0,1.6038000000000001,High,Postgraduate,81,False,Medium,Medium,5.785714285714286,Medium,7,4,Positive,5.0,0,71
62,19,4.75,69,2,7,0.4898,Medium,High School,79,False,Medium,Low,3.95,Medium,6,2,Neutral,5.0,0,66
83,15,4.5,42,3,0,0.4730999999999999,Medium,Postgraduate,57,False,Medium,Low,3.5625,Medium,7,3,Positive,6.0,0,65
95,17,4.25,50,7,1,0.8075,Low,College,85,False,High,Low,4.722222222222222,Low,8,2,Negative,5.0,0,66
79,24,4.8,23,9,2,1.6116000000000001,Low,High School,68,False,Medium,High,2.72,Low,8,2,Negative,4.0,0,65
63,30,6.0,61,3,1,0.9576,Medium,Postgraduate,76,False,Medium,Medium,2.4516129032258065,Medium,10,4,Neutral,4.0,0,67
82,22,4.4,48,4,2,1.6728,Medium,Postgraduate,68,False,Medium,High,2.9565217391304346,Low,7,4,Neutral,4.0,0,70
73,13,3.9000000000000004,26,5,1,0.7446,Medium,Postgraduate,51,False,Medium,Medium,3.642857142857143,Low,7,4,Positive,6.0,0,63
66,23,5.75,59,7,1,0.6204,Low,Postgraduate,94,False,High,Low,3.9166666666666665,Medium,8,3,Neutral,5.0,0,64
94,27,6.75,42,3,1,1.0715999999999999,Medium,High School,57,True,Medium,Medium,2.0357142857142856,Medium,7,1,Neutral,5.0,0,71
81,16,5.6000000000000005,59,4,2,1.2798,High,College,79,False,High,Medium,4.647058823529412,Low,6,3,Positive,7.0,0,68
97,19,3.8,74,4,2,1.8235999999999999,Low,Postgraduate,94,False,Medium,Medium,4.7,High,6,4,Neutral,4.0,0,72
92,20,5.0,56,1,2,1.1224,High,College,61,False,Medium,Medium,2.9047619047619047,High,4,4,Neutral,5.0,0,71
88,15,3.75,26,9,1,1.2496,Low,Postgraduate,71,False,Low,Medium,4.4375,Low,8,2,Positive,5.0,0,64
60,24,7.199999999999999,49,4,1,0.828,Low,High School,69,False,High,Medium,2.76,Medium,5,5,Neutral,6.0,0,64
77,19,3.8,49,1,3,0.41580000000000006,Medium,College,54,False,Medium,Low,2.7,High,6,2,Negative,4.0,0,66
68,23,,61,2,3,1.4484,High,High School,71,False,,High,2.9583333333333335,Medium,7,3,Positive,,0,68
96,15,3.0,54,4,2,1.4207999999999998,Medium,High School,74,False,Low,Medium,4.625,Low,7,2,Positive,4.0,0,68
67,17,5.1,31,4,3,0.6834,Medium,High School,51,False,Medium,Medium,2.8333333333333335,Low,10,5,Positive,6.0,0,65
71,24,7.199999999999999,59,3,1,1.0508,Medium,High School,74,False,Medium,Medium,2.96,Medium,5,3,Positive,6.0,0,67
81,18,3.6,20,7,3,0.44550000000000006,Low,High School,55,False,Medium,Low,2.8947368421052633,Low,10,2,Negative,4.0,0,64
71,30,7.5,85,2,1,2.0235,Medium,College,95,False,Medium,High,3.064516129032258,Medium,9,4,Neutral,5.0,0,70
68,18,5.4,63,4,1,0.5644,High,College,83,False,Medium,Low,4.368421052631579,Low,8,2,Positive,6.0,0,65
84,21,4.2,28,5,2,0.4452,Low,High School,53,False,High,Low,2.409090909090909,Medium,9,3,Negative,4.0,0,65
64,26,6.5,81,2,1,1.7472,Medium,High School,91,False,Medium,High,3.3703703703703702,Medium,8,4,Positive,5.0,0,68
62,11,2.2,63,1,2,0.8432000000000001,High,High School,68,False,Medium,Medium,5.666666666666667,High,4,3,Negative,4.0,0,61
75,9,,41,4,3,1.3725,Low,High School,61,False,,High,6.1,Medium,8,3,Neutral,,0,63
89,11,2.75,48,3,0,1.1214,Medium,College,63,False,Medium,Medium,5.25,Medium,5,2,Neutral,5.0,0,65
82,28,7.0,55,5,1,1.312,Medium,High School,80,False,Medium,Medium,2.7586206896551726,Low,6,5,Neutral,5.0,0,69
77,17,5.1,29,5,1,0.41580000000000006,Medium,College,54,False,High,Low,3.0,Low,7,2,Positive,6.0,0,64
83,35,7.0,18,7,1,0.8798,Low,High School,53,True,Medium,Medium,1.4722222222222223,Low,6,2,Neutral,4.0,0,69
75,17,4.25,76,1,3,0.6075,Medium,Postgraduate,81,False,Medium,Low,4.5,High,8,3,Neutral,5.0,0,67
97,21,6.300000000000001,89,2,1,2.8809,High,Postgraduate,99,False,High,High,4.5,Medium,7,1,Neutral,6.0,1,74
62,29,5.8,54,4,1,0.9176,Medium,College,74,False,Medium,Medium,2.466666666666667,Low,8,3,Negative,4.0,0,66
87,32,6.4,66,1,0,1.2353999999999998,High,College,71,False,Low,Medium,2.1515151515151514,High,7,4,Neutral,4.0,0,72
96,32,8.0,62,7,1,0.9311999999999999,Low,College,97,False,Medium,Low,2.9393939393939394,Low,7,5,Neutral,5.0,0,73
92,27,8.100000000000001,52,2,0,1.7112,Medium,College,62,True,High,High,2.2142857142857144,Medium,6,4,Positive,6.0,1,73
67,26,5.2,37,5,0,1.2462000000000002,Medium,High School,62,True,Medium,High,2.2962962962962963,Medium,5,2,Negative,4.0,0,63
72,24,4.8,75,4,3,1.3679999999999999,Medium,Postgraduate,95,False,Medium,Medium,3.8,Low,7,2,Negative,4.0,0,69
89,25,6.25,37,9,2,2.1894,Low,Postgraduate,82,False,Medium,High,3.1538461538461537,Low,6,6,Neutral,5.0,0,71
63,17,4.25,33,4,1,1.0017,Medium,College,53,False,High,High,2.9444444444444446,Low,9,4,Neutral,5.0,0,63
92,15,3.75,79,1,0,1.5456,High,High School,84,False,Low,Medium,5.25,High,5,5,Positive,5.0,0,69
89,20,5.0,86,1,3,0.8099000000000001,High,College,91,False,Medium,Low,4.333333333333333,Medium,10,3,Neutral,5.0,0,72
89,19,5.699999999999999,34,6,2,1.1392,Low,Postgraduate,64,False,Medium,Medium,3.2,Low,7,4,Positive,6.0,0,68
64,17,2.55,49,4,1,0.8832,High,High School,69,False,Medium,Medium,3.8333333333333335,Medium,7,3,Negative,3.0,0,62
89,24,6.0,30,6,1,1.068,High,High School,60,True,Medium,Medium,2.4,Low,6,2,Neutral,5.0,0,68
87,26,5.2,57,5,1,2.1401999999999997,Medium,Postgraduate,82,False,Medium,High,3.037037037037037,Low,8,2,Negative,4.0,0,71
93,21,6.300000000000001,63,4,1,0.7719,Low,High School,83,False,High,Low,3.772727272727273,High,7,3,Neutral,6.0,0,67
62,29,8.7,23,6,0,0.9858,High,College,53,True,Medium,High,1.7666666666666666,Low,7,3,Positive,6.0,1,65
61,13,3.9000000000000004,59,5,1,1.5372,Medium,Postgraduate,84,False,High,High,6.0,Medium,8,3,Neutral,6.0,1,60
75,19,4.75,78,1,2,1.8675,High,High School,83,False,Medium,High,4.15,High,8,2,Neutral,5.0,0,68
66,16,2.4000000000000004,27,5,1,0.6864,Medium,High School,52,False,Low,Medium,3.0588235294117645,Medium,9,3,Negative,3.0,0,59
82,9,1.8,73,1,0,1.2792,Medium,,78,False,Medium,Medium,7.8,High,8,0,Neutral,4.0,0,64
97,20,4.0,61,4,2,2.3571000000000004,Medium,High School,81,False,Low,High,3.857142857142857,Low,6,3,Neutral,4.0,0,71
76,19,,72,0,2,0.5472,High,College,72,False,,Low,3.6,High,4,2,Neutral,,0,68
94,29,7.25,60,7,2,1.7859999999999998,Medium,College,95,False,Medium,Medium,3.1666666666666665,Low,7,3,Neutral,5.0,0,70
60,24,6.0,31,7,1,0.792,Low,College,66,False,High,Medium,2.64,Medium,7,4,Neutral,5.0,0,62
67,14,2.8,43,2,2,0.7102,Medium,College,53,False,Medium,Medium,3.533333333333333,High,10,3,Neutral,4.0,0,62
61,31,6.2,74,2,2,1.0248,Medium,High School,84,False,Medium,Medium,2.625,Medium,7,3,Neutral,4.0,0,68
73,27,4.050000000000001,65,3,3,0.584,Medium,High School,80,False,Medium,Low,2.857142857142857,Medium,8,3,Negative,3.0,0,68
96,23,5.75,74,5,3,2.8512,Medium,High School,99,False,Low,High,4.125,Low,8,4,Positive,5.0,0,74
64,19,4.75,42,4,0,0.7936,Medium,College,62,False,Medium,Medium,3.1,High,8,4,Positive,5.0,0,61
84,14,4.199999999999999,45,5,1,1.176,Medium,College,70,False,High,Medium,4.666666666666667,Low,8,5,Neutral,6.0,0,67
78,18,5.4,53,4,1,1.1388,Low,High School,73,False,High,Medium,3.8421052631578947,High,6,2,Positive,6.0,0,65
98,27,9.450000000000001,73,4,5,0.9114,Medium,High School,93,False,High,Low,3.3214285714285716,High,6,3,Positive,7.0,0,101
65,31,7.75,36,7,1,0.9229999999999999,Low,High School,71,False,Medium,Medium,2.21875,Low,7,4,Neutral,5.0,0,65
68,29,5.8,74,3,0,1.2104000000000001,Medium,College,89,False,Medium,Medium,2.966666666666667,Medium,4,4,Neutral,4.0,0,67
61,17,5.1,38,4,2,0.35379999999999995,High,High School,58,False,Medium,Low,3.2222222222222223,Low,7,3,Positive,6.0,0,61
77,13,3.25,55,3,3,1.0779999999999998,Medium,High School,70,False,High,Medium,5.0,Medium,6,4,Neutral,5.0,0,64
71,21,6.300000000000001,38,4,1,1.2353999999999998,Low,College,58,False,High,High,2.6363636363636362,Medium,7,3,Positive,6.0,1,64
95,9,1.8,72,5,1,1.843,Medium,College,97,False,Low,Medium,9.7,Low,7,2,Neutral,4.0,0,67
84,22,7.700000000000001,49,2,0,0.9911999999999999,Medium,College,59,False,High,Medium,2.5652173913043477,High,5,3,Positive,7.0,0,69
85,19,6.6499999999999995,61,2,1,0.6034999999999999,Medium,Postgraduate,71,False,High,Low,3.55,Medium,9,2,Positive,7.0,0,69
81,17,4.25,34,4,4,0.8748000000000001,Medium,High School,54,False,Medium,Medium,3.0,Low,7,3,Positive,5.0,0,67
64,10,2.0,86,2,1,1.2288,High,High School,96,False,Medium,Medium,8.727272727272727,Medium,8,3,Neutral,4.0,0,62
78,23,4.6,51,6,0,1.2636,High,High School,81,False,Medium,Medium,3.375,Low,7,1,Neutral,4.0,0,66
100,17,5.1,88,2,0,0.98,Medium,College,98,False,High,Low,5.444444444444445,Medium,8,4,Positive,6.0,0,72
93,13,3.9000000000000004,37,3,2,0.48360000000000003,Medium,College,52,False,Medium,Low,3.7142857142857144,Medium,5,3,Positive,6.0,0,67
96,3,0.6,44,3,2,1.1327999999999998,High,College,59,False,Medium,Medium,14.75,Low,9,3,Negative,4.0,0,66
93,20,5.0,24,9,2,1.2833999999999999,Low,High School,69,False,Medium,Medium,3.2857142857142856,Low,8,4,Neutral,5.0,0,67
64,31,9.3,61,4,1,0.5184000000000001,Low,High School,81,False,Medium,Low,2.53125,Medium,7,4,Positive,6.0,0,67
69,30,7.5,51,3,0,0.9107999999999999,Medium,Postgraduate,66,False,Low,Medium,2.129032258064516,Medium,7,4,Positive,5.0,0,68
60,17,5.95,66,4,0,1.032,Medium,High School,86,False,High,Medium,4.777777777777778,Low,9,2,Positive,7.0,0,63
72,16,2.4000000000000004,48,2,1,0.41759999999999997,High,High School,58,False,Medium,Low,3.411764705882353,Medium,6,2,Negative,3.0,0,62
64,23,5.75,70,2,3,0.512,Medium,College,80,False,High,Low,3.3333333333333335,Medium,5,2,Negative,5.0,0,65
79,14,4.199999999999999,45,5,1,1.1059999999999999,Medium,College,70,False,Medium,Medium,4.666666666666667,Low,6,6,Positive,6.0,0,65
87,22,7.700000000000001,65,2,0,1.305,High,College,75,False,High,Medium,3.260869565217391,Medium,7,2,Positive,7.0,0,70
95,25,6.25,43,7,7,1.482,Medium,High School,78,False,Medium,Medium,3.0,Low,7,4,Positive,5.0,0,73
90,27,9.450000000000001,43,2,1,0.9540000000000001,Medium,Postgraduate,53,True,High,Medium,1.8928571428571428,Medium,9,2,Positive,7.0,0,73
98,19,3.8,61,7,2,1.8816,Low,High School,96,False,Medium,Medium,4.8,Low,6,2,Negative,4.0,0,68
62,19,4.75,64,5,3,1.6554,Low,High School,89,False,Medium,High,4.45,Medium,6,1,Positive,5.0,0,63
60,15,5.25,52,4,2,1.2959999999999998,Low,High School,72,False,High,High,4.5,High,5,2,Positive,7.0,1,62
86,15,4.5,67,2,0,1.3244,Medium,Postgraduate,77,False,Medium,Medium,4.8125,Medium,8,3,Positive,6.0,0,69
72,19,3.8,42,2,2,0.7488,High,Postgraduate,52,False,Medium,Medium,2.6,Medium,5,3,Neutral,4.0,0,66
70,22,6.6000000000000005,65,2,0,1.5749999999999997,High,Postgraduate,75,False,Medium,High,3.260869565217391,Medium,8,3,Positive,6.0,1,68
73,25,7.5,51,4,0,0.5183,Medium,College,71,False,Medium,Low,2.730769230769231,Low,6,3,Positive,6.0,0,67
71,15,3.75,54,3,2,0.48989999999999995,High,College,69,False,High,Low,4.3125,Low,6,4,Negative,5.0,0,65
80,29,8.7,71,4,1,2.1840000000000006,Medium,College,91,False,Medium,High,3.033333333333333,High,10,3,Positive,6.0,1,70
78,18,6.3,39,4,0,1.3805999999999998,Medium,High School,59,False,High,High,3.1052631578947367,High,9,1,Positive,7.0,1,64
80,20,6.0,24,7,2,1.4160000000000001,Low,High School,59,False,High,High,2.8095238095238093,Medium,7,3,Neutral,6.0,1,65
87,16,4.0,51,5,1,1.9836,Medium,Postgraduate,76,False,High,High,4.470588235294118,Low,5,2,Neutral,5.0,0,67
75,5,1.25,64,4,0,1.26,Low,Postgraduate,84,False,Medium,Medium,14.0,High,10,4,Neutral,5.0,0,62
70,25,7.5,26,5,3,1.0709999999999997,Medium,High School,51,True,Medium,High,1.9615384615384615,Low,7,4,Positive,6.0,1,66
67,24,7.199999999999999,77,0,0,0.5159,High,College,77,False,Medium,Low,3.08,High,7,2,Positive,6.0,0,68
74,18,5.4,40,5,0,1.4429999999999998,Low,College,65,False,High,High,3.4210526315789473,Medium,8,4,Positive,6.0,1,64
90,20,3.0,58,6,3,1.584,Low,High School,88,False,Medium,Medium,4.190476190476191,Low,4,3,Negative,3.0,0,69
90,23,6.8999999999999995,63,2,1,0.657,Medium,High School,73,False,Medium,Low,3.0416666666666665,High,6,2,Positive,6.0,0,69
87,11,3.3000000000000003,77,3,1,1.6008,Medium,High School,92,False,Medium,Medium,7.666666666666667,Medium,7,5,Positive,6.0,0,67
69,17,5.1,45,5,0,0.48299999999999993,Medium,College,70,False,High,Low,3.888888888888889,Low,7,3,Neutral,6.0,0,61
84,25,7.5,81,2,1,0.7644,Medium,Postgraduate,91,False,Medium,Low,3.5,Medium,5,4,Positive,6.0,0,70
83,12,2.4,66,4,1,0.7138,Medium,College,86,False,Medium,Low,6.615384615384615,High,7,4,Negative,4.0,0,65
79,22,6.6000000000000005,66,5,0,0.7189000000000001,Medium,College,91,False,Medium,Low,3.9565217391304346,Low,7,4,Positive,6.0,0,66
82,12,2.4,56,7,3,1.4924,Medium,Postgraduate,91,False,Medium,Medium,7.0,Low,10,3,Negative,4.0,0,66
80,23,4.6,64,2,4,1.184,High,High School,74,False,Medium,Medium,3.0833333333333335,Medium,9,3,Negative,4.0,0,69
83,20,6.0,53,3,1,1.6932,Medium,High School,68,False,Medium,High,3.238095238095238,Medium,7,1,Positive,6.0,1,67
89,10,3.0,88,0,2,1.5664,High,Postgraduate,88,False,Medium,Medium,8.0,High,7,2,Positive,6.0,0,71
64,27,8.100000000000001,53,3,1,1.3056,High,High School,68,False,High,High,2.4285714285714284,Low,9,4,Neutral,6.0,1,68
90,16,4.0,39,3,2,1.4580000000000002,Medium,High School,54,False,Medium,High,3.176470588235294,Medium,7,3,Positive,5.0,0,67
65,15,3.0,73,4,2,0.6045,Medium,High School,93,False,Medium,Low,5.8125,Low,5,4,Neutral,4.0,0,63
63,21,6.300000000000001,60,2,1,0.44099999999999995,Medium,College,70,False,High,Low,3.1818181818181817,High,10,2,Positive,6.0,0,64
99,27,6.75,37,4,3,1.1285999999999998,Medium,College,57,True,Medium,Medium,2.0357142857142856,Low,6,3,Neutral,5.0,0,73
98,14,4.199999999999999,57,5,1,2.4107999999999996,Medium,High School,82,False,Medium,High,5.466666666666667,Low,10,3,Positive,6.0,1,69
62,20,5.0,74,4,1,1.7483999999999997,Low,High School,94,False,Medium,High,4.476190476190476,Medium,8,3,Positive,5.0,0,65
78,23,8.049999999999999,73,4,0,1.4508,Low,Postgraduate,93,False,High,Medium,3.875,Medium,6,5,Positive,7.0,0,70
67,24,8.4,58,4,1,0.5226000000000001,Medium,High School,78,False,High,Low,3.12,Low,4,2,Positive,7.0,0,67
79,21,6.300000000000001,19,7,3,1.2798,Low,Postgraduate,54,False,Medium,High,2.4545454545454546,Low,8,3,Positive,6.0,1,67
93,18,5.4,65,4,0,1.581,High,High School,85,False,Medium,Medium,4.473684210526316,Low,5,3,Positive,6.0,0,70
98,15,3.0,65,3,2,0.784,Low,Postgraduate,80,False,High,Low,5.0,High,8,2,Negative,4.0,0,69
85,21,4.2,51,2,2,1.5554999999999999,Medium,High School,61,False,Medium,High,2.772727272727273,Medium,10,2,Neutral,4.0,0,68
74,14,4.199999999999999,75,4,1,2.1089999999999995,High,College,95,False,High,High,6.333333333333333,Low,5,3,Positive,6.0,1,66
84,2,0.4,24,6,3,0.4536,High,,54,False,Low,Low,18.0,Low,8,4,Positive,4.0,0,62
72,23,6.8999999999999995,59,2,2,0.49679999999999996,Medium,High School,69,False,Medium,Low,2.875,High,6,4,Positive,6.0,0,67
96,25,7.5,30,5,2,1.584,Low,High School,55,True,High,High,2.1153846153846154,Medium,9,4,Neutral,6.0,1,71
95,6,1.5,76,4,4,1.8239999999999998,Medium,High School,96,False,Medium,Medium,13.714285714285714,Low,7,2,Neutral,5.0,0,68
82,14,2.8,32,4,3,1.2792000000000001,Medium,High School,52,False,Medium,High,3.466666666666667,Low,7,2,Negative,4.0,0,66
73,24,6.0,36,7,0,1.5549,Medium,High School,71,False,Medium,High,2.84,Low,9,3,Neutral,5.0,0,64
72,32,8.0,73,4,1,0.6696,Medium,Postgraduate,93,False,Medium,Low,2.8181818181818183,Low,8,4,Neutral,5.0,0,71
61,20,7.0,28,7,1,0.7686,Low,College,63,False,High,Medium,3.0,Medium,6,4,Positive,7.0,0,61
93,16,3.2,35,4,2,1.0230000000000001,High,College,55,False,Medium,Medium,3.235294117647059,Low,10,2,Neutral,4.0,0,67
78,19,4.75,36,4,3,0.4368000000000001,Low,College,56,False,Medium,Low,2.8,High,5,4,Neutral,5.0,0,65
73,28,5.6,50,4,0,0.511,Medium,College,70,False,Medium,Low,2.413793103448276,Low,7,6,Negative,4.0,0,66
79,16,4.800000000000001,56,3,2,1.1218,High,High School,71,False,High,Medium,4.176470588235294,Low,6,4,Neutral,6.0,0,68
93,15,3.0,61,5,0,1.5996000000000001,Medium,College,86,False,Medium,Medium,5.375,Low,5,2,Neutral,4.0,0,66
65,17,4.25,47,3,2,0.806,Medium,High School,62,False,Medium,Medium,3.4444444444444446,Medium,5,4,Positive,5.0,0,63
94,14,3.5,55,6,1,0.7989999999999999,Low,High School,85,False,Medium,Low,5.666666666666667,High,7,3,Neutral,5.0,0,66
96,21,5.25,95,1,1,1.92,High,College,100,False,Medium,Medium,4.545454545454546,High,8,2,Positive,5.0,0,73
98,30,7.5,58,7,1,1.8228,Low,High School,93,False,Low,Medium,3.0,Low,9,3,Positive,5.0,0,88
76,22,5.5,67,3,0,1.8696000000000002,Medium,High School,82,False,High,High,3.5652173913043477,Medium,9,4,Neutral,5.0,0,67
69,18,5.4,92,1,2,1.3385999999999998,High,College,97,False,Medium,Medium,5.105263157894737,Medium,7,2,Positive,6.0,0,69
75,18,5.4,65,7,2,2.25,Low,High School,100,False,Medium,High,5.2631578947368425,Low,6,3,Positive,6.0,1,67
73,11,3.3000000000000003,59,4,1,1.1534,High,High School,79,False,High,Medium,6.583333333333333,Low,9,2,Neutral,6.0,0,64
67,25,6.25,44,4,0,0.8576,High,High School,64,False,Medium,Medium,2.4615384615384617,Low,6,2,Neutral,5.0,0,64
